LOD-Artikel;Grondformen;Wuertaart
PETZI1;Petzi;Substantiv, Maskulinum
PICKNICKEN1;picknicken;Verb
PILOT1;Pilot;Substantiv, Maskulinum
PILOTIN1;Pilotin;Substantiv, Femininum
PIZZA1;Pizza;Substantiv, Femininum
PLAGE1;Plage;Substantiv, Femininum
PLAT1;Plat;Substantiv, Maskulinum
PLATTDRECKEN1;plattdrécken;Verb
PLENNEREN2;plënneren;Verb
POLICEBURO1;Policebüro;Substantiv, Maskulinum
POLIZIST1;Polizist;Substantiv, Maskulinum
POLIZISTIN1;Polizistin;Substantiv, Femininum
POND1;Pond;Substantiv, Neutrum
PORRETT1;Porrett;Substantiv, Femininum
PORTO1;Porto;Substantiv, Maskulinum
POSTKAART1;Postkaart;Substantiv, Femininum
PRAKTESCH1;praktesch;Adjektiv
PRAXIS1;Praxis;Substantiv, Femininum
PREPAREIEREN1;preparéieren;Verb
PRESENTEIEREN1;presentéieren;Verb
PRIMARSCHOUL1;Primärschoul;Substantiv, Femininum
PRO1;pro;Prepositioun
PROBLEM1;Problem;Substantiv, Maskulinum
PROFF1;Proff;Substantiv, Maskulinum
PUER2;puer;Indefinitpronomen
PUPPELCHEN1;Puppelchen;Substantiv, Maskulinum
QUETSCH1;Quetsch;Substantiv, Femininum
RAIS1;Räis;Substantiv, Maskulinum
RAM1;Ram;Substantiv, Maskulinum/Femininum
RAPPEN4;rappen;Verb
RAYON1;Rayon;Substantiv, Maskulinum
RECEPTIONNIST1;Receptionnist;Substantiv, Maskulinum
RECEPTIONNISTIN1;Receptionnistin;Substantiv, Femininum
RECHNUNG1;Rechnung;Substantiv, Femininum
RECK1;Réck;Substantiv, Maskulinum
REENEN1;reenen;Verb
REGIOUN1;Regioun;Substantiv, Femininum
REI1;réi;Adjektiv
REKLAMM1;Reklamm;Substantiv, Femininum
RELATIV1;relativ;Adverb
RELAX1;relax;Adjektiv
RELIEIS1;reliéis;Adjektiv
RENDEZVOUS1;Rendez-vous;Substantiv, Maskulinum
RENSEIGNEMENT2;Renseignement;Substantiv, Maskulinum
REPAREIEREN1;reparéieren;Verb
RESTAURANT1;Restaurant;Substantiv, Maskulinum
REZEPT1;Rezept;Substantiv, Neutrum
RICHTEG1;richteg;Adjektiv
RIICHTER1;Riichter;Substantiv, Maskulinum
RIICHTERIN1;Riichterin;Substantiv, Femininum
ROUT1;rout;Adjektiv
RUTT1;Rutt;Substantiv, Femininum
SAACH1;Saach;Substantiv, Femininum
SAFTEG1;säfteg;Adjektiv
SAIT1;Säit;Substantiv, Femininum
SALZ1;Salz;Substantiv, Neutrum
SAMMELEN1;sammelen;Verb
SAMSCHDEG1;Samschdeg;Substantiv, Maskulinum
SAMSCHDES1;samschdes;Adverb
SANGEN1;sangen;Verb
SAUER1;sauer;Adjektiv
SAUMON1;Saumon;Substantiv, Maskulinum
SCAMPI1;Scampi;Substantiv, Maskulinum
SCHAFFEN3;schaffen;Verb
SCHAUSPILLER1;Schauspiller;Substantiv, Maskulinum
SCHAUSPILLERIN1;Schauspillerin;Substantiv, Femininum
SCHEIN1;schéin;Adjektiv
SCHI1;Schi;Substantiv, Maskulinum
SCHICK1;schick;Adjektiv
SCHIELEN1;schielen;Verb
SCHLITT1;Schlitt;Substantiv, Maskulinum
SCHLITTSCHONG1;Schlittschong;Substantiv, Maskulinum
SCHLITTSCHUNG1;Schlittschung;Substantiv, Maskulinum
SCHLOFEN1;schlofen;Verb
SCHMAACHEN1;schmaachen;Verb
SCHMIER2;Schmier;Substantiv, Femininum
SCHNAPP1;Schnapp;Substantiv, Maskulinum
SCHNAUZ1;Schnauz;Substantiv, Maskulinum
SCHNECK1;Schneck;Substantiv, Femininum
SCHNEIDEN1;schneiden;Verb
SCHNEIEN1;schneien;Verb
SCHOCKELA2;Schockela;Substantiv, Maskulinum
SCHOCKELASMELLECH1;Schockelasmëllech;Substantiv, Femininum
SCHOCKELASRULL1;Schockelasrull;Substantiv, Femininum
SCHONN1;schonn;Adverb
SCHOUL1;Schoul;Substantiv, Femininum
SCHREIWEN1;schreiwen;Verb
SCHULER1;Schüler;Substantiv, Maskulinum
SCHULERIN1;Schülerin;Substantiv, Femininum
SCHWAARZ1;schwaarz;Adjektiv
SCHWAMM1;Schwämm;Substantiv, Femininum
SCHWAMMEN1;schwammen;Verb
SCHWATZEN1;schwätzen;Verb
SCHWESTER1;Schwëster;Substantiv, Femininum
SEIER2;séier;Adverb
SEISS1;séiss;Adjektiv
SEKRETAR1;Sekretär;Substantiv, Maskulinum
SEKRETARIN1;Sekretärin;Substantiv, Femininum
SENGEN2;sengen;Verb
SEPTEMBER1;September;Substantiv, Maskulinum
SERIO1;seriö;Adjektiv
SERVICE1;Service;Substantiv, Maskulinum
SHOPPEN1;shoppen;Verb
SICHEN1;sichen;Verb
SINN1;sinn;Verb
SINN2;sinn;Hëllefsverb
SIROP1;Sirop;Substantiv, Maskulinum
SOLLEN1;sollen;Modalverb
SONNDEG1;Sonndeg;Substantiv, Maskulinum
SONNDES1;sonndes;Adverb
SONNEG1;sonneg;Adjektiv
SOSS1;soss;Adverb
SPADSEIEREN1;spadséieren;Verb
SPARGEL1;Spargel;Substantiv, Femininum
SPEZIALITEIT1;Spezialitéit;Substantiv, Femininum
SPILLEN1;spillen;Verb
SPILLSCHOUL1;Spillschoul;Substantiv, Femininum
SPORT1;Sport;Substantiv, Maskulinum
SPORTLECH1;sportlech;Adjektiv
SPORTLER1;Sportler;Substantiv, Maskulinum
SPORTLERIN1;Sportlerin;Substantiv, Femininum
SPORTSHAL1;Sportshal;Substantiv, Femininum
SPRANGEN1;sprangen;Verb
SPROOCH1;Sprooch;Substantiv, Femininum
SPROOCHECOURS1;Sproochecours;Substantiv, Maskulinum
SPRUDDELWAASSER1;Spruddelwaasser;Substantiv, Neutrum
STAD1;Stad;Substantiv, Femininum
STAU1;Stau;Substantiv, Maskulinum
STAUBSAUGEN1;staubsaugen;Verb
STECK1;Stéck;Substantiv, Neutrum
STEEMETZER1;Steemetzer;Substantiv, Maskulinum
STEEMETZESCH1;Steemetzesch;Substantiv, Femininum
STEMMEN1;stëmmen;Verb
STIERWEN2;stierwen;Verb
STOEN1;stoen;Verb
STONN1;Stonn;Substantiv, Femininum
STOT1;Stot;Substantiv, Maskulinum
STREISEL1;Streisel;Substantiv, Maskulinum
STROOSS1;Strooss;Substantiv, Femininum
STUDEIEREN1;studéieren;Verb
STUDENT1;Student;Substantiv, Maskulinum
STUDENTIN1;Studentin;Substantiv, Femininum
STUDIO1;Studio;Substantiv, Maskulinum
STULL1;Stull;Substantiv, Maskulinum
SUDEN1;Süden;Substantiv, Maskulinum
SUMMER1;Summer;Substantiv, Maskulinum
SUPERMARCHE1;Supermarché;Substantiv, Maskulinum
SYMPATHESCH1;sympathesch;Adjektiv
TAART1;Taart;Substantiv, Femininum
TAASS1;Taass;Substantiv, Femininum
TANKEN1;tanken;Verb
TANKSTELL1;Tankstell;Substantiv, Femininum
TATTA1;Tatta;Substantiv, Femininum
TAXI1;Taxi;Substantiv, Maskulinum
TEI1;Téi;Substantiv, Maskulinum
TELEE1;Tëlee;Substantiv, Femininum
TELEFON1;Telefon;Substantiv, Maskulinum
TELEFONSNUMMER1;Telefonsnummer;Substantiv, Femininum
TESCHENT1;tëschent;Prepositioun
THEATER1;Theater;Substantiv, Maskulinum
THERMOMETER1;Thermometer;Substantiv, Maskulinum
THON1;Thon;Substantiv, Maskulinum
TIMBER1;Timber;Substantiv, Maskulinum
TIPPTOPP1;tipptopp;Adjektiv
TOMAT1;Tomat;Substantiv, Femininum
TOMATENZOPP1;Tomatenzopp;Substantiv, Femininum
TOUR1;Tour;Substantiv, Maskulinum
TOURISTESCH1;touristesch;Adjektiv
TRADITIONELL1;traditionell;Adjektiv
TRAFICK1;Trafick;Substantiv, Maskulinum
TRAINEIEREN1;trainéieren;Verb
TRAITEUR1;Traiteur;Substantiv, Maskulinum
TRAITEUSE1;Traiteuse;Substantiv, Femininum
TRANCHE1;Tranche;Substantiv, Femininum
TUB1;Tüb;Substantiv, Maskulinum/Femininum
TUT3;Tut;Substantiv, Femininum
UEBST1;Uebst;Substantiv, Neutrum
UELEG1;Ueleg;Substantiv, Maskulinum
UFANK1;Ufank;Substantiv, Maskulinum
UFANKEN1;ufänken;Verb
UM1;um;
UM2;um;Prepositioun
UMELLEN1;umellen;Verb
UNI1;Uni;Substantiv, Femininum
USTRAICHER1;Usträicher;Substantiv, Maskulinum
USTRAICHERIN1;Usträicherin;Substantiv, Femininum
VAKANZ1;Vakanz;Substantiv, Femininum
VEGETARIER1;Vegetarier;Substantiv, Maskulinum
VEGETARIERIN1;Vegetarierin;Substantiv, Femininum
VEIEREL1;Véierel;Substantiv, Maskulinum
VELO1;Vëlo;Substantiv, Maskulinum
VERBINDUNG1;Verbindung;Substantiv, Femininum
VERGIESSEN1;vergiessen;Verb
VERKAFEN1;verkafen;Verb
VERKEEFER1;Verkeefer;Substantiv, Maskulinum
VERKEEFERIN1;Verkeeferin;Substantiv, Femininum
VILL1;vill;Adverb
VILL2;vill;Indefinitpronomen
VILLMOOLS1;villmools;Adverb
VIR3;vir;Prepositioun
VIRDRUN1;virdrun;Adverb
VIRNUMM1;Virnumm;Substantiv, Maskulinum
VIRWAL1;Virwal;Substantiv, Femininum
VUM1;vum;
VUN1;vun;Prepositioun
WAARDEN1;waarden;Verb
WAARM1;waarm;Adjektiv
WAASSER2;Waasser;Substantiv, Neutrum
WAERTEN1;wäerten;Modalverb
WAIN1;Wäin;Substantiv, Maskulinum
WAISS1;wäiss;Adjektiv
WAIT1;wäit;Adjektiv
WANNECHGELIFT1;wannechgelift;Partikel
WANTER1;Wanter;Substantiv, Maskulinum
WANTERSPORT1;Wantersport;Substantiv, Maskulinum
WASCHEN1;wäschen;Verb
WAT1;wat;Interrogativpronomen
WAT3;wat;Konjunktioun
WEEKEND1;Weekend;Substantiv, Maskulinum
WEI2;wéi;Konjunktioun
WEI3;wéi;Interrogativpronomen
WEI8;wéi;Konjunktioun
WEINI1;wéini;Adverb
WEISEN1;weisen;Verb
WELLEN1;wëllen;Verb
WELLEN3;wëllen;Modalverb
WESSEN2;wëssen;Verb
WESTEN1;Westen;Substantiv, Maskulinum
WICHTEG1;wichteg;Adjektiv
WIDDERHUELEN1;widderhuelen;Verb
WIEDER1;Wieder;Substantiv, Neutrum
WIEM1;wiem;Interrogativpronomen
WIEN1;wien;Interrogativpronomen
WOCH1;Woch;Substantiv, Femininum
WOU1;wou;Adverb
WUER2;wuer;Adverb
WUNNEN1;wunnen;Verb
ZAIT1;Zäit;Substantiv, Femininum
ZALOT1;Zalot;Substantiv, Femininum
ZANNDOKTER1;Zänndokter;Substantiv, Maskulinum
ZANNDOKTESCH1;Zänndoktesch;Substantiv, Femininum
ZANNSEEF1;Zännseef;Substantiv, Femininum
ZANT1;Zant;Substantiv, Maskulinum
ZANTER1;zanter;Prepositioun
ZEIDEG1;zeideg;Adjektiv
ZEITUNG2;Zeitung;Substantiv, Femininum
ZEITUNGSBUTTEK1;Zeitungsbuttek;Substantiv, Maskulinum
ZENTER1;zënter;Prepositioun
ZENTILITER1;Zentiliter;Substantiv, Maskulinum
ZENTRUM1;Zentrum;Substantiv, Maskulinum
ZESUMMEN1;zesummen;Adverb
ZIGARETT1;Zigarett;Substantiv, Femininum
ZITROUN1;Zitroun;Substantiv, Femininum
ZOOSSISS1;Zoossiss;Substantiv, Femininum
ZOPP1;Zopp;Substantiv, Femininum
ZORT1;Zort;Substantiv, Femininum
ZU1;zu;Prepositioun
ZUCH1;Zuch;Substantiv, Maskulinum
ZUM1;zum;
