LOD-Artikel;Grondformen;Wuertaart
CHRESCHTDAG1;Chrëschtdag;Substantiv, Maskulinum
CHRESCHTIN1;Chrëschtin;Substantiv, Femininum
CHRESCHTMAART1;Chrëschtmaart;Substantiv, Maskulinum
CLASSEUR1;Classeur;Substantiv, Maskulinum
CLIENT1;Client;Substantiv, Maskulinum
CLIENTE1;Cliente;Substantiv, Femininum
COIFFER1;Coiffer;Substantiv, Maskulinum
COIFFERSALON1;Coiffersalon;Substantiv, Maskulinum
COIFFEUR1;Coiffeur;Substantiv, Maskulinum
COIFFEURSSALON1;Coiffeurssalon;Substantiv, Maskulinum
COIFFEUSE1;Coiffeuse;Substantiv, Femininum
COMPTABEL1;Comptabel;Substantiv, Maskulinum
COMPTABEL2;Comptabel;Substantiv, Femininum
COMPUTER1;Computer;Substantiv, Maskulinum
CONCERT1;Concert;Substantiv, Maskulinum
COOL1;cool;Adjektiv
CORTEGE1;Cortège;Substantiv, Maskulinum
COURGETTE1;Courgette;Substantiv, Femininum
COURS1;Cours;Substantiv, Maskulinum
COUSIN1;Cousin;Substantiv, Maskulinum
COUSINE1;Cousine;Substantiv, Femininum
CRECHE1;Crèche;Substantiv, Femininum
CROISSANT1;Croissant;Substantiv, Maskulinum
DACKS1;dacks;Adverb
DAERFEN1;däerfen;Modalverb
DAG1;Dag;Substantiv, Maskulinum
DANN2;dann;Adverb
DAUEREN1;daueren;Verb
DECK1;déck;Adjektiv
DECKEN2;decken;Verb
DEEG1;Deeg;Substantiv, Maskulinum
DEIER2;deier;Adjektiv
DEIERENDOKTER1;Déierendokter;Substantiv, Maskulinum
DEIERENDOKTESCH1;Déierendoktesch;Substantiv, Femininum
DENN1;dënn;Adjektiv
DENSCHDEG1;Dënschdeg;Substantiv, Maskulinum
DENSCHDES1;dënschdes;Adverb
DEPPCHEN1;Dëppchen;Substantiv, Neutrum
DESCH1;Dësch;Substantiv, Maskulinum
DESSERT1;Dessert;Substantiv, Maskulinum
DEZEMBER1;Dezember;Substantiv, Maskulinum
DIER1;Dier;Substantiv, Femininum
DIREKT2;direkt;Adverb
DIREKTER1;Direkter;Substantiv, Maskulinum
DIREKTESCH1;Direktesch;Substantiv, Femininum
DISKO1;Disko;Substantiv, Femininum
DO1;do;Adverb
DO6;Do;Substantiv, Maskulinum
DOBAI1;dobäi;staarkt Pronominaladverb
DOHEEM2;doheem;Adverb
DOHEEMBLEIWEN1;doheembleiwen;Verb
DOKTER1;Dokter;Substantiv, Maskulinum
DOKTESCH1;Doktesch;Substantiv, Femininum
DONNESCHDEG1;Donneschdeg;Substantiv, Maskulinum
DONNESCHDES1;donneschdes;Adverb
DONO1;dono;staarkt Pronominaladverb
DOSEN1;Dosen;Substantiv, Femininum
DOSSIER1;Dossier;Substantiv, Maskulinum
DRAUF1;Drauf;Substantiv, Femininum
DRECHEN1;dréchen;Adjektiv
DRENKEN1;drénken;Verb
DU1;du;Adverb
DUECHTER1;Duechter;Substantiv, Femininum
DUERCH3;duerch;Prepositioun
DUERNO1;duerno;staarkt Pronominaladverb
DUSCH1;Dusch;Substantiv, Femininum
DUSCHEN1;duschen;Verb
ECK1;Eck;Substantiv, Maskulinum
EDUCATEUR1;Educateur;Substantiv, Maskulinum
